timestamp,author,content,channel,messageId
2025-10-23T01:55:00Z,Blaze💥,"https://gov.near.org/t/hsp-012-two-phase-model-for-consensus-protocol-upgrades/41709

welcome feedback.",community,msg-001
2025-10-23T02:32:00Z,"slime 💦 INTEAR WALLET 💚 JAMBO 💚 SHITZU 💚 BLACKDRAGON 💚 ZOLANEAR 💚 N","This is my stance",community,msg-002
2025-10-23T02:32:00Z,"slime 💦 INTEAR WALLET 💚 JAMBO 💚 SHITZU 💚 BLACKDRAGON 💚 ZOLANEAR 💚 N","",community,msg-003
2025-10-23T02:32:00Z,"slime 💦 INTEAR WALLET 💚 JAMBO 💚 SHITZU 💚 BLACKDRAGON 💚 ZOLANEAR 💚 N","",community,msg-004
2025-10-23T02:34:00Z,"slime 💦 INTEAR WALLET 💚 JAMBO 💚 SHITZU 💚 BLACKDRAGON 💚 ZOLANEAR 💚 N","True btw, setting the precedent of failing to vote but implementing anyway is even worse than the proposal itself (which I think is not bad, but not good enough in my opinion)",community,msg-005
2025-10-23T03:16:00Z,Mirella,"hey all - I believe minor protocol version bumps have been backward compatible for 1-2 epochs to give operators time to upgrade after the voting, is that also the case for v2.9?",community,msg-006
2025-10-23T03:34:00Z,"Fox Reymann 🐾 mevresearch.com","that is my understanding. if 80% upgrades to 2.9.0 you still will have 2 epoch to upgrade before being kicked out.",community,msg-007
2025-10-23T06:13:00Z,"LC - NEAR Foundation","In case anyone's missed it, sharing the FAQ again — we’ve also added answers to additional, recurring questions: https://docs.google.com/document/d/1MbxCDFU6KHSWckuBXGISNTq4atjSQeoPMfe_1gn5xFw/edit?tab=t.0#heading=h.csfwre3ptpag",community,msg-008
2025-10-23T08:59:00Z,"Kent | Cường DC","ihmo this still is the vote, last time we reached 92% of ""YES"" vote, but couldn't reach the quorum AND MANY VALIDATORS couldn't process on-chain vote due to node operation/regulation limitation, so this time the change is implemented in the Nearcore, which allows more validators to participate.

The consensus requires a vote of at least 80% in favor of 'yes' (upgrade the node), making it even harder than the previous vote.

All validators have a chance to practice in the voting this time, SO THIS IS FAIR",community,msg-009
2025-10-23T09:09:00Z,"slime 💦 INTEAR WALLET 💚 JAMBO 💚 SHITZU 💚 BLACKDRAGON 💚 ZOLANEAR 💚 N","It was their own rules that time lol",community,msg-010
2025-10-23T09:09:00Z,"Kent | Cường DC","yeah so this time is more fair",community,msg-011
2025-10-23T09:09:00Z,"Kent | Cường DC","all nodes can vote :)",community,msg-012
2025-10-23T09:10:00Z,"Kent | Cường DC","(or absence, like the last time)",community,msg-013
